date,entry_time,exit_time,entry_price,exit_price,direction,und_pts,hold_mins,exit_reason,vix
2018-06-29,09:30,09:40,2723.8,2726.4,1,2.599999999999909,10,time_stop,15.73
2018-09-18,09:30,09:35,2897.8,2902.8,1,5.0,5,profit_target,13.48
2018-09-28,09:30,09:40,2901.2,2902.95,1,1.75,10,time_stop,12.59
2018-12-24,09:30,09:33,2396.1,2393.1,1,-3.0,3,stop_loss,29.29
2018-12-26,09:30,09:33,2365.45,2370.45,1,5.0,3,profit_target,35.5
2019-02-06,09:30,09:39,2729.5,2726.5,1,-3.0,9,stop_loss,15.44
2019-02-27,09:30,09:40,2787.7,2791.7,1,4.0,10,time_stop,15.53
2019-03-18,09:30,09:40,2816.9,2818.15,1,1.25,10,time_stop,13.13
2019-03-27,09:30,09:40,2813.9,2812.9,1,-1.0,10,time_stop,14.52
2019-03-28,09:30,09:34,2806.4,2803.4,1,-3.0,4,stop_loss,15.38
2019-05-10,09:30,09:32,2859.8,2856.8,1,-3.0,2,stop_loss,18.79
2019-05-13,09:30,09:40,2829.15,2834.05,1,4.900000000000091,10,time_stop,18.62
2019-06-04,09:30,09:32,2773.1,2770.1,1,-3.0,2,stop_loss,18.74
2019-08-16,09:30,09:40,2868.7,2872.13,1,3.430000000000291,10,time_stop,20.48
2019-08-19,09:30,09:40,2923.6,2921.31,1,-2.2899999999999636,10,time_stop,17.93
2019-10-11,09:30,09:40,2965.2,2965.9,1,0.7000000000002728,10,time_stop,17.35
2019-10-14,09:30,09:36,2961.6,2958.6,1,-3.0,6,stop_loss,15.66
2019-10-23,09:30,09:35,2989.6,2986.6,1,-3.0,5,stop_loss,14.83
2019-10-28,09:30,09:40,3031.52,3035.5,1,3.980000000000018,10,time_stop,13.01
2019-11-04,09:30,09:34,3079.93,3076.93,1,-3.0,4,stop_loss,12.68
2019-11-25,09:30,09:40,3121.5,3124.7,1,3.199999999999818,10,time_stop,12.51
2019-12-16,09:30,09:40,3194.6,3193.1,1,-1.5,10,time_stop,12.47
2019-12-20,09:30,09:40,3206.2,3206.75,1,0.5500000000001819,10,time_stop,12.55
2020-01-02,09:30,09:32,3237.2,3234.2,1,-3.0,2,stop_loss,13.46
2020-01-03,09:30,09:32,3216.1,3221.1,1,5.0,2,profit_target,15.01
2020-02-25,09:30,09:31,3245.3,3242.3,1,-3.0,1,stop_loss,22.19
2020-04-08,09:30,09:31,2685.91,2682.91,1,-3.0,1,stop_loss,45.9
2020-08-11,09:30,09:34,3370.8,3367.8,1,-3.0,4,stop_loss,21.85
2020-08-12,09:30,09:40,3358.2,3358.9,1,0.7000000000002728,10,time_stop,22.82
2020-09-30,09:30,09:32,3337.3,3342.3,1,5.0,2,profit_target,26.69
2020-10-05,09:30,09:32,3364.42,3369.42,1,5.0,2,profit_target,29.52
2020-10-07,09:30,09:32,3384.7,3389.7,1,5.0,2,profit_target,29.26
2020-11-13,09:30,09:31,3557.6,3554.6,1,-3.0,1,stop_loss,24.94
2020-12-03,09:30,09:40,3668.9,3670.1,1,1.199999999999818,10,time_stop,21.24
2020-12-08,09:30,09:40,3680.4,3681.15,1,0.75,10,time_stop,21.65
2020-12-23,09:30,09:40,3686.09,3688.6,1,2.5099999999997635,10,time_stop,23.49
2021-01-13,09:30,09:39,3790.4,3787.4,1,-3.0,9,stop_loss,23.07
2021-01-25,09:30,09:40,3840.3,3841.35,1,1.0499999999997272,10,time_stop,22.31
2021-02-01,09:30,09:31,3742.3,3739.3,1,-3.0,1,stop_loss,31.45
2021-03-04,09:30,09:32,3816.6,3821.6,1,5.0,2,profit_target,26.52
2021-03-18,09:30,09:33,3946.7,3951.7,1,5.0,3,profit_target,18.95
2021-03-29,09:30,09:35,3946.9,3951.9,1,5.0,5,profit_target,20.4
2021-03-31,09:30,09:38,3956.1,3961.1,1,5.0,8,profit_target,19.8
2021-04-29,09:30,09:32,4206.7,4203.7,1,-3.0,2,stop_loss,16.88
