date,entry_time,exit_time,entry_price,exit_price,direction,und_pts,hold_mins,exit_reason,vix
2018-06-01,09:44,11:14,2728.7,2731.6,1,2.900000000000091,90,time_stop,14.92
2018-06-29,09:44,11:14,2728.8,2734.2,1,5.399999999999636,90,time_stop,15.73
2018-07-05,09:44,11:14,2721.8,2714.36,1,-7.440000000000055,90,time_stop,15.62
2018-08-16,09:44,11:14,2834.5,2842.0,1,7.5,90,time_stop,14.18
2018-10-16,09:44,11:14,2767.5,2783.6,1,16.09999999999991,90,time_stop,20.28
2018-10-19,09:44,11:14,2781.9,2786.9,1,5.0,90,time_stop,19.24
2018-10-30,09:44,11:14,2649.5,2645.9,1,-3.599999999999909,90,time_stop,23.94
2018-11-02,09:44,10:23,2751.6,2736.6,1,-15.0,39,stop_loss,18.52
2018-11-07,09:44,11:14,2779.1,2788.2,1,9.099999999999909,90,time_stop,18.03
2019-01-04,09:44,11:02,2484.47,2514.47,1,30.0,78,profit_target,24.36
2019-02-12,09:44,11:14,2729.3,2739.1,1,9.799999999999727,90,time_stop,15.23
2019-05-14,09:44,11:14,2828.55,2838.0,1,9.449999999999818,90,time_stop,19.4
2019-05-24,09:44,10:53,2840.0,2825.0,1,-15.0,69,stop_loss,16.34
2019-06-27,09:44,11:14,2916.6,2914.8,1,-1.7999999999997272,90,time_stop,15.66
2019-08-06,09:44,10:15,2867.1,2852.1,1,-15.0,31,stop_loss,22.29
2019-08-16,09:44,11:14,2869.1,2886.3,1,17.200000000000273,90,time_stop,20.48
2019-08-23,09:44,11:02,2910.3,2895.3,1,-15.0,78,stop_loss,16.15
2019-10-15,09:44,11:14,2974.15,2991.3,1,17.15000000000009,90,time_stop,13.94
2020-02-04,09:44,11:14,3281.8,3290.61,1,8.809999999999945,90,time_stop,16.45
2020-03-24,09:44,10:17,2346.2,2376.2,1,30.0,33,profit_target,58.76
2020-05-05,09:44,11:14,2872.1,2881.3,1,9.200000000000273,90,time_stop,34.82
2020-05-07,09:44,11:14,2884.7,2883.7,1,-1.0,90,time_stop,32.12
2020-05-18,09:44,11:14,2936.5,2947.7,1,11.199999999999818,90,time_stop,30.71
2020-05-20,09:44,11:14,2963.1,2975.2,1,12.099999999999909,90,time_stop,29.52
2020-08-12,09:44,11:14,3358.0,3369.7,1,11.699999999999818,90,time_stop,22.82
2020-09-14,09:44,11:14,3382.6,3393.6,1,11.0,90,time_stop,25.86
2020-11-05,09:44,11:14,3496.1,3510.78,1,14.680000000000291,90,time_stop,27.56
2020-12-23,09:44,11:14,3687.0,3689.5,1,2.5,90,time_stop,23.49
2020-12-24,09:44,11:14,3684.7,3684.5,1,-0.1999999999998181,90,time_stop,22.47
2021-01-07,09:44,11:14,3768.7,3789.2,1,20.5,90,time_stop,23.67
2021-02-02,09:44,11:14,3804.68,3827.0,1,22.320000000000164,90,time_stop,28.01
2021-03-01,09:44,11:14,3865.25,3891.3,1,26.050000000000182,90,time_stop,25.2
2021-04-01,09:44,11:14,3984.3,3991.7,1,7.399999999999636,90,time_stop,18.6
2021-05-14,09:44,11:14,4139.9,4152.2,1,12.300000000000182,90,time_stop,21.77
2021-08-27,09:44,11:14,4474.5,4496.5,1,22.0,90,time_stop,17.95
2021-09-21,09:44,10:09,4366.5,4351.5,1,-15.0,25,stop_loss,23.41
2021-10-14,09:44,11:14,4391.4,4408.96,1,17.5600000000004,90,time_stop,18.01
2021-12-07,09:44,11:14,4659.1,4681.76,1,22.659999999999854,90,time_stop,24.58
2023-03-23,09:44,11:01,3973.4,4003.4,1,30.0,77,profit_target,21.43
2023-03-29,09:44,11:14,4013.7200000000003,4006.75,1,-6.970000000000255,90,time_stop,19.25
2023-09-27,09:44,10:12,4289.26,4274.26,1,-15.0,28,stop_loss,18.18
2024-08-07,09:44,10:28,5314.41,5299.41,1,-15.0,44,stop_loss,24.77
2024-08-13,09:44,11:14,5390.35,5399.9800000000005,1,9.63000000000011,90,time_stop,20.05
2024-08-29,09:44,10:50,5608.0,5638.0,1,30.0,66,profit_target,16.54
2024-09-09,09:44,11:13,5452.66,5437.66,1,-15.0,89,stop_loss,21.32
2024-10-28,09:44,11:14,5834.75,5837.63,1,2.880000000000109,90,time_stop,19.11
2025-04-08,09:44,09:58,5217.34,5247.34,1,30.0,14,profit_target,44.04
2025-04-22,09:44,10:57,5230.63,5260.63,1,30.0,73,profit_target,32.61
2025-05-02,09:44,09:51,5663.93,5648.93,1,-15.0,7,stop_loss,23.63
2025-05-08,09:44,10:08,5665.54,5650.54,1,-15.0,24,stop_loss,22.84
2025-06-18,09:44,10:34,5988.09,6018.09,1,30.0,50,profit_target,20.900000000000002
2025-06-24,09:44,10:08,6074.25,6059.25,1,-15.0,24,stop_loss,18.19
2025-10-13,09:44,11:14,6634.09,6638.03,1,3.9399999999996,90,time_stop,19.45
2025-10-15,09:44,10:10,6692.99,6722.99,1,30.0,26,profit_target,20.02
2025-10-27,09:44,11:14,6851.03,6853.06,1,2.030000000000655,90,time_stop,15.73
2025-11-20,09:44,11:00,6752.03,6737.03,1,-15.0,76,stop_loss,20.78
2025-11-24,09:44,10:35,6643.860000000001,6673.860000000001,1,30.0,51,profit_target,22.69
