date,entry_time,exit_time,entry_price,exit_price,direction,und_pts,hold_mins,exit_reason,vix
2018-06-29,09:30,10:30,2723.8,2727.9,1,4.099999999999909,60,time_stop,15.73
2018-09-18,09:30,10:30,2897.8,2905.7,1,7.899999999999636,60,time_stop,13.48
2018-09-28,09:30,10:30,2901.2,2906.3,1,5.100000000000364,60,time_stop,12.59
2018-12-24,09:30,09:36,2396.1,2386.1,1,-10.0,6,stop_loss,29.29
2018-12-26,09:30,10:00,2365.45,2355.45,1,-10.0,30,stop_loss,35.5
2019-02-06,09:30,10:23,2729.5,2719.5,1,-10.0,53,stop_loss,15.44
2019-02-27,09:30,10:12,2787.7,2777.7,1,-10.0,42,stop_loss,15.53
2019-03-18,09:30,10:30,2816.9,2824.2,1,7.299999999999727,60,time_stop,13.13
2019-03-27,09:30,10:30,2813.9,2814.7,1,0.7999999999997272,60,time_stop,14.52
2019-03-28,09:30,10:30,2806.4,2809.8,1,3.400000000000091,60,time_stop,15.38
2019-05-10,09:30,10:10,2859.8,2849.8,1,-10.0,40,stop_loss,18.79
2019-05-13,09:30,09:53,2829.15,2819.15,1,-10.0,23,stop_loss,18.62
2019-06-04,09:30,10:30,2773.1,2781.2,1,8.099999999999909,60,time_stop,18.74
2019-08-16,09:30,10:30,2868.7,2877.3,1,8.600000000000364,60,time_stop,20.48
2019-08-19,09:30,10:30,2923.6,2918.0,1,-5.599999999999909,60,time_stop,17.93
2019-10-11,09:30,10:30,2965.2,2978.2,1,13.0,60,time_stop,17.35
2019-10-14,09:30,10:30,2961.6,2960.9,1,-0.6999999999998181,60,time_stop,15.66
2019-10-23,09:30,10:30,2989.6,2990.6,1,1.0,60,time_stop,14.83
2019-10-28,09:30,10:30,3031.52,3035.8,1,4.2800000000002,60,time_stop,13.01
2019-11-04,09:30,10:30,3079.93,3078.4,1,-1.5299999999997453,60,time_stop,12.68
2019-11-25,09:30,10:30,3121.5,3130.2,1,8.699999999999818,60,time_stop,12.51
2019-12-16,09:30,10:30,3194.6,3199.3,1,4.700000000000273,60,time_stop,12.47
2019-12-20,09:30,10:30,3206.2,3208.6,1,2.400000000000091,60,time_stop,12.55
2020-01-02,09:30,10:15,3237.2,3227.2,1,-10.0,45,stop_loss,13.46
2020-01-03,09:30,10:30,3216.1,3228.5,1,12.400000000000091,60,time_stop,15.01
2020-02-25,09:30,09:32,3245.3,3235.3,1,-10.0,2,stop_loss,22.19
2020-04-08,09:30,09:33,2685.91,2675.91,1,-10.0,3,stop_loss,45.9
2020-08-11,09:30,10:02,3370.8,3360.8,1,-10.0,32,stop_loss,21.85
2020-08-12,09:30,10:30,3358.2,3372.9,1,14.700000000000273,60,time_stop,22.82
2020-09-30,09:30,10:00,3337.3,3352.3,1,15.0,30,profit_target,26.69
2020-10-05,09:30,10:30,3364.42,3377.9,1,13.480000000000018,60,time_stop,29.52
2020-10-07,09:30,10:30,3384.7,3397.0,1,12.300000000000182,60,time_stop,29.26
2020-11-13,09:30,10:30,3557.6,3558.2,1,0.599999999999909,60,time_stop,24.94
2020-12-03,09:30,10:30,3668.9,3676.55,1,7.650000000000091,60,time_stop,21.24
2020-12-08,09:30,10:30,3680.4,3683.5,1,3.099999999999909,60,time_stop,21.65
2020-12-23,09:30,10:30,3686.09,3686.25,1,0.15999999999985448,60,time_stop,23.49
2021-01-13,09:30,10:04,3790.4,3780.4,1,-10.0,34,stop_loss,23.07
2021-01-25,09:30,10:30,3840.3,3845.6,1,5.299999999999727,60,time_stop,22.31
2021-02-01,09:30,09:45,3742.3,3732.3,1,-10.0,15,stop_loss,31.45
2021-03-04,09:30,09:37,3816.6,3831.6,1,15.0,7,profit_target,26.52
2021-03-18,09:30,10:30,3946.7,3949.2,1,2.5,60,time_stop,18.95
2021-03-29,09:30,10:09,3946.9,3936.9,1,-10.0,39,stop_loss,20.4
2021-03-31,09:30,10:30,3956.1,3961.0,1,4.900000000000091,60,time_stop,19.8
2021-04-29,09:30,09:54,4206.7,4196.7,1,-10.0,24,stop_loss,16.88
2021-05-13,09:30,09:51,4077.4,4092.4,1,15.0,21,profit_target,26.03
2021-06-10,09:30,10:30,4232.1,4238.15,1,6.049999999999272,60,time_stop,18.18
2021-06-17,09:30,10:30,4220.83,4222.5,1,1.6700000000000728,60,time_stop,18.49
2021-06-29,09:30,10:30,4282.0,4283.4,1,1.3999999999996362,60,time_stop,15.69
2021-07-26,09:30,10:30,4395.0,4395.49,1,0.4899999999997817,60,time_stop,18.67
2021-07-29,09:30,10:30,4401.9,4409.25,1,7.350000000000364,60,time_stop,17.91
2021-08-09,09:30,09:35,4427.5,4417.5,1,-10.0,5,stop_loss,17.12
2021-08-23,09:30,10:15,4454.7,4469.7,1,15.0,45,profit_target,18.83
2021-09-10,09:30,09:44,4513.2,4503.2,1,-10.0,14,stop_loss,17.94
2021-11-02,09:30,10:30,4604.2,4611.9,1,7.699999999999818,60,time_stop,16.54
2021-11-29,09:30,09:34,4644.9,4634.9,1,-10.0,4,stop_loss,25.31
2021-12-21,09:30,09:44,4590.3,4580.3,1,-10.0,14,stop_loss,22.28
2022-02-10,09:30,09:39,4519.0,4534.0,1,15.0,9,profit_target,20.37
2022-02-14,09:30,09:32,4409.0,4399.0,1,-10.0,2,stop_loss,29.17
2022-02-22,09:30,09:33,4324.3,4314.3,1,-10.0,3,stop_loss,31.8
2022-03-01,09:30,09:52,4358.9,4348.9,1,-10.0,22,stop_loss,29.45
2022-03-11,09:30,09:40,4285.4,4275.4,1,-10.0,10,stop_loss,30.43
2022-03-21,09:30,09:38,4447.9,4462.9,1,15.0,8,profit_target,25.14
2022-03-22,09:30,10:00,4461.8,4476.8,1,15.0,30,profit_target,24.02
2022-04-18,09:30,09:44,4378.5,4393.5,1,15.0,14,profit_target,24.52
2022-04-19,09:30,09:47,4383.0,4398.0,1,15.0,17,profit_target,22.55
2022-04-21,09:30,10:20,4490.3,4480.3,1,-10.0,50,stop_loss,20.24
2022-04-27,09:30,09:43,4180.5,4195.5,1,15.0,13,profit_target,31.11
2022-05-10,09:30,09:34,4057.95,4047.95,1,-10.0,4,stop_loss,33.66
2022-06-17,09:30,09:40,3662.7,3677.7,1,15.0,10,profit_target,32.84
2022-06-28,09:30,09:32,3909.0,3924.0,1,15.0,2,profit_target,26.9
2022-07-07,09:30,09:49,3859.0,3874.0,1,15.0,19,profit_target,26.73
2022-07-13,09:30,09:32,3760.6,3750.6,1,-10.0,2,stop_loss,27.35
2022-07-14,09:30,09:31,3743.7,3733.7,1,-10.0,1,stop_loss,27.47
2022-07-28,09:30,09:42,4025.3,4015.3,1,-10.0,12,stop_loss,23.33
2022-08-15,09:30,09:54,4251.3,4266.3,1,15.0,24,profit_target,20.74
2022-08-17,09:30,10:30,4263.5,4266.65,1,3.149999999999636,60,time_stop,19.74
2022-09-06,09:30,09:38,3939.3,3929.3,1,-10.0,8,stop_loss,25.46
2022-09-21,09:30,09:33,3865.4,3855.4,1,-10.0,3,stop_loss,28.03
2022-09-22,09:30,09:35,3775.0,3765.0,1,-10.0,5,stop_loss,28.16
2022-09-30,09:30,09:36,3625.3,3615.3,1,-10.0,6,stop_loss,31.61
2022-10-17,09:30,09:37,3648.21,3663.21,1,15.0,7,profit_target,32.27
2022-10-27,09:30,09:40,3839.24,3829.24,1,-10.0,10,stop_loss,27.51
2022-11-07,09:30,09:33,3781.3,3771.3,1,-10.0,3,stop_loss,25.67
2022-11-21,09:30,10:16,3952.7,3942.7,1,-10.0,46,stop_loss,24.05
2022-11-23,09:30,09:45,3998.8,4013.8,1,15.0,15,profit_target,21.49
2022-12-09,09:30,09:32,3952.8,3942.8,1,-10.0,2,stop_loss,22.55
2023-01-13,09:30,10:00,3940.9,3955.9,1,15.0,30,profit_target,19.0
2023-02-10,09:30,09:41,4065.9,4055.9,1,-10.0,11,stop_loss,20.74
2023-02-27,09:30,10:09,4002.71,4017.71,1,15.0,39,profit_target,21.96
2023-03-08,09:30,10:00,3991.39,3981.39,1,-10.0,30,stop_loss,19.650000000000002
2023-03-14,09:30,10:22,3908.07,3923.07,1,15.0,52,profit_target,27.14
2023-03-20,09:30,10:02,3925.77,3940.77,1,15.0,32,profit_target,27.97
2023-03-21,09:30,10:23,3990.82,3980.82,1,-10.0,53,stop_loss,23.97
2023-03-23,09:30,10:15,3970.62,3985.62,1,15.0,45,profit_target,21.43
2023-03-27,09:30,10:17,3995.9100000000003,3985.9100000000003,1,-10.0,47,stop_loss,22.29
2023-03-29,09:30,10:30,4009.63,4009.84,1,0.21000000000003638,60,time_stop,19.25
2023-03-31,09:30,10:30,4063.25,4072.4100000000003,1,9.16000000000031,60,time_stop,19.31
2023-04-12,09:30,09:46,4128.6,4118.6,1,-10.0,16,stop_loss,19.32
2023-04-13,09:30,10:17,4104.21,4119.21,1,15.0,47,profit_target,18.76
2023-04-24,09:30,10:30,4134.7,4141.4800000000005,1,6.780000000000655,60,time_stop,18.06
2023-05-03,09:30,10:30,4125.67,4126.28,1,0.6099999999996726,60,time_stop,17.72
2023-05-05,09:30,09:45,4098.41,4113.41,1,15.0,15,profit_target,19.35
2023-05-10,09:30,09:40,4148.8,4138.8,1,-10.0,10,stop_loss,17.6
2023-05-17,09:30,09:50,4129.55,4119.55,1,-10.0,20,stop_loss,18.17
2023-05-19,09:30,10:30,4206.79,4211.89,1,5.100000000000364,60,time_stop,16.12
2023-05-22,09:30,09:41,4193.55,4208.55,1,15.0,11,profit_target,17.44
2023-05-26,09:30,09:41,4160.4800000000005,4175.4800000000005,1,15.0,11,profit_target,19.21
2023-06-02,09:30,10:01,4254.22,4244.22,1,-10.0,31,stop_loss,15.610000000000001
2023-06-05,09:30,10:30,4286.96,4281.6,1,-5.359999999999673,60,time_stop,15.23
2023-06-07,09:30,10:30,4288.49,4288.55,1,0.06000000000040018,60,time_stop,14.21
2023-06-27,09:30,10:30,4342.32,4344.77,1,2.4500000000007276,60,time_stop,14.200000000000001
2023-06-30,09:30,10:03,4427.55,4442.55,1,15.0,33,profit_target,13.51
2023-07-10,09:30,10:30,4400.12,4406.42,1,6.300000000000182,60,time_stop,16.2
2023-07-12,09:30,10:30,4476.29,4486.6900000000005,1,10.400000000000546,60,time_stop,14.790000000000001
2023-07-19,09:30,10:30,4568.59,4572.51,1,3.9200000000000728,60,time_stop,13.32
2023-07-24,09:30,10:30,4550.81,4556.06,1,5.25,60,time_stop,14.25
2023-07-28,09:30,10:30,4571.43,4578.650000000001,1,7.220000000000255,60,time_stop,13.99
2023-08-07,09:30,10:01,4503.21,4493.21,1,-10.0,31,stop_loss,16.82
2023-08-10,09:30,09:37,4492.29,4507.29,1,15.0,7,profit_target,15.48
2023-08-17,09:30,09:52,4420.2300000000005,4410.2300000000005,1,-10.0,22,stop_loss,17.01
2023-08-23,09:30,10:10,4401.6,4416.6,1,15.0,40,profit_target,16.64
2023-08-25,09:30,10:08,4394.62,4384.62,1,-10.0,38,stop_loss,17.16
2023-08-30,09:30,09:57,4502.2300000000005,4517.2300000000005,1,15.0,27,profit_target,14.6
2023-08-31,09:30,10:30,4522.7,4530.08,1,7.380000000000109,60,time_stop,13.94
2023-09-01,09:30,09:38,4535.86,4525.86,1,-10.0,8,stop_loss,13.48
2023-09-08,09:30,10:20,4455.46,4470.46,1,15.0,50,profit_target,14.290000000000001
2023-09-11,09:30,09:46,4486.6,4476.6,1,-10.0,16,stop_loss,14.13
2023-09-27,09:30,10:06,4288.8,4278.8,1,-10.0,36,stop_loss,18.18
2023-10-04,09:30,10:06,4238.87,4228.87,1,-10.0,36,stop_loss,20.71
2023-10-11,09:30,10:12,4373.87,4363.87,1,-10.0,42,stop_loss,16.94
2023-10-13,09:30,10:13,4369.75,4359.75,1,-10.0,43,stop_loss,16.57
2023-10-16,09:30,10:13,4346.92,4361.92,1,15.0,43,profit_target,19.330000000000002
2023-10-19,09:30,09:48,4324.07,4314.07,1,-10.0,18,stop_loss,19.73
2023-10-24,09:30,10:29,4239.7,4254.7,1,15.0,59,profit_target,19.98
2023-10-30,09:30,09:47,4146.74,4161.74,1,15.0,17,profit_target,21.13
2023-11-02,09:30,10:28,4277.02,4292.02,1,15.0,58,profit_target,16.6
2023-11-03,09:30,09:47,4340.31,4355.31,1,15.0,17,profit_target,15.71
2023-11-06,09:30,09:48,4371.78,4361.78,1,-10.0,18,stop_loss,15.41
2023-11-08,09:30,10:30,4386.58,4379.96,1,-6.619999999999891,60,time_stop,14.88
