entry_price,exit_price,entry_time,exit_time,hold_mins,exit_reason,und_ret_pct,und_pts,direction,date,vix
2690.0,2694.4,09:30,10:00,30,time_stop,0.16356877323420413,4.400000000000091,1,2018-10-29,24.48
2659.2,2669.6,09:30,10:00,30,time_stop,0.3910950661853223,10.400000000000091,1,2018-11-26,20.78
2923.6,2919.7,09:30,10:00,30,time_stop,-0.13339718155698765,-3.900000000000091,1,2019-08-19,17.93
3237.8,3256.5,09:30,10:00,30,time_stop,0.5775526592130402,18.699999999999818,1,2020-02-03,18.64
3421.9,3416.7,09:30,10:00,30,time_stop,-0.15196236009235434,-5.200000000000273,1,2020-08-24,22.87
3575.0,3580.3,09:30,10:00,30,time_stop,0.14825174825175333,5.300000000000182,1,2020-11-23,23.66
3686.9,3695.7,09:30,10:00,30,time_stop,0.23868290433696945,8.799999999999727,1,2020-12-14,22.67
4035.95,4042.6,09:30,10:00,30,time_stop,0.16476913737781912,6.650000000000091,1,2021-04-05,18.16
4488.0,4478.85,09:30,09:37,7,stop_loss,-0.2038770053475855,-9.149999999999636,1,2021-09-13,19.64
4089.8,4105.35,09:30,09:55,25,profit_target,0.380214191403007,15.550000000000182,1,2022-09-12,23.58
4002.71,4007.36,09:30,10:00,30,time_stop,0.11617129394835227,4.650000000000091,1,2023-02-27,21.96
4146.74,4162.2300000000005,09:30,09:49,19,profit_target,0.3735464485354928,15.490000000000691,1,2023-10-30,21.13
5161.2300000000005,5164.7,09:30,10:00,30,time_stop,0.06723203577440542,3.469999999999345,1,2024-04-15,16.98
5448.89,5459.6,09:30,10:00,30,time_stop,0.19655379352492042,10.710000000000036,1,2024-09-09,21.32
5990.42,6002.56,09:30,10:00,30,time_stop,0.20265690886449242,12.140000000000327,1,2025-01-06,16.77
5726.86,5742.46,09:30,09:38,8,profit_target,0.2724005825181751,15.600000000000364,1,2025-03-24,19.13
5820.17,5811.63,09:30,09:33,3,stop_loss,-0.1467311092287676,-8.539999999999964,1,2025-05-12,19.84
6279.88,6296.02,09:30,09:42,12,profit_target,0.25701128047033267,16.140000000000327,1,2025-08-04,19.56
6629.1900000000005,6647.59,09:30,09:57,27,profit_target,0.27756030525599107,18.399999999999636,1,2025-10-13,19.45
6797.79,6805.87,09:30,10:00,30,time_stop,0.11886215961363807,8.079999999999927,1,2025-11-10,18.580000000000002
6643.02,6659.29,09:30,09:32,2,profit_target,0.2449187267236818,16.269999999999527,1,2025-11-24,22.69
6925.52,6942.59,09:30,09:37,7,profit_target,0.24647968672388076,17.06999999999971,1,2026-02-02,16.830000000000002
