entry_price,exit_price,entry_time,exit_time,hold_mins,exit_reason,und_ret_pct,und_pts,direction,date,vix
3355.7,3356.0,09:30,12:30,180,time_stop,-0.008940012516022944,-0.3000000000001819,-1,2020-09-08,30.61
3332.7,3358.9,09:30,10:05,35,stop_loss,-0.7861493683800005,-26.200000000000273,-1,2020-09-17,28.22
3255.1,3242.7,09:30,12:30,180,time_stop,0.38094067770575685,12.400000000000091,-1,2020-09-21,28.04
4618.6,4566.21,09:30,11:46,136,profit_target,1.134326419261255,52.39000000000033,-1,2021-11-30,26.23
4544.0,4525.3,09:30,12:30,180,time_stop,0.41153169014084107,18.699999999999818,-1,2021-12-20,25.89
4312.0,4261.5,09:30,10:10,40,profit_target,1.1711502782931353,50.5,-1,2022-01-24,28.2
4329.91,4276.67,09:30,10:03,33,profit_target,1.2295867581543214,53.23999999999978,-1,2022-01-25,32.29
4226.4,4216.3,09:30,12:30,180,time_stop,0.23897406776451482,10.099999999999454,-1,2022-04-25,30.04
4257.0,4205.4,09:30,10:41,71,profit_target,1.2121212121212206,51.600000000000364,-1,2022-04-26,27.38
4234.9,4186.72,09:30,12:30,180,time_stop,1.1376892016340263,48.17999999999938,-1,2022-04-29,28.97
4243.0,4190.5,09:30,10:08,38,profit_target,1.2373320763610651,52.5,-1,2022-05-05,25.97
4108.4,4137.35,09:30,11:17,107,stop_loss,-0.7046538798559228,-28.950000000000728,-1,2022-05-06,32.23
4033.1,3982.8,09:30,11:17,107,profit_target,1.2471795889018307,50.29999999999973,-1,2022-05-18,26.74
3704.9,3673.0,09:30,12:30,180,time_stop,0.8610218899295552,31.90000000000009,-1,2022-06-16,30.35
3755.7,3768.11,09:30,12:30,180,time_stop,-0.33043107809463773,-12.41000000000031,-1,2022-07-05,27.37
4021.47,4036.8,09:30,12:30,180,time_stop,-0.38120388813046924,-15.330000000000382,-1,2022-08-29,26.86
3841.0,3824.0,09:30,12:30,180,time_stop,0.44259307472012493,17.0,-1,2022-09-16,27.47
3701.48,3651.2,09:30,12:29,179,profit_target,1.3583755686914478,50.2800000000002,-1,2022-09-23,27.68
3688.3,3640.3,09:30,12:30,180,time_stop,1.3014125748990049,48.0,-1,2022-10-07,30.37
3492.0,3521.65,09:30,09:52,22,stop_loss,-0.8490836197021789,-29.65000000000009,-1,2022-10-13,33.6
3708.3,3735.0,09:30,10:57,87,stop_loss,-0.7200064719682825,-26.699999999999818,-1,2022-11-03,25.98
5487.78,5433.37,09:30,10:45,75,profit_target,0.9914756058005215,54.409999999999854,-1,2025-04-03,26.38
5268.05,5217.38,09:30,09:41,11,profit_target,0.9618359734626677,50.67000000000007,-1,2025-04-04,30.12
5343.87,5290.28,09:30,10:11,41,profit_target,1.0028312814495888,53.590000000000146,-1,2025-04-10,34.44
5230.41,5180.32,09:30,10:08,38,profit_target,0.9576687104835021,50.090000000000146,-1,2025-04-21,32.75
