entry_price,exit_price,entry_time,exit_time,hold_mins,exit_reason,und_ret_pct,und_pts,direction,date,vix
2804.75,2814.35,09:30,09:34,4,stop_loss,-0.34227649523130077,-9.599999999999909,-1,2020-03-11,52.24
2408.9,2393.8,09:30,09:46,16,profit_target,0.6268421271119561,15.099999999999909,-1,2020-03-16,57.83
2383.26,2364.07,09:30,09:32,2,profit_target,0.805199600547152,19.190000000000055,-1,2020-03-19,80.62
2263.45,2271.3,09:30,09:32,2,stop_loss,-0.3468157016943323,-7.850000000000364,-1,2020-03-23,74.08
2602.9,2588.5,09:30,09:49,19,profit_target,0.5532290906296857,14.400000000000091,-1,2020-03-31,56.69
2768.8,2750.6,09:30,09:42,12,profit_target,0.6573244726957626,18.200000000000273,-1,2020-04-13,44.6
2775.4,2783.1,09:30,09:37,7,stop_loss,-0.27743748648842753,-7.699999999999818,-1,2020-04-15,39.4
2823.7,2831.7,09:30,09:37,7,stop_loss,-0.28331621631193116,-8.0,-1,2020-04-20,40.68
4329.91,4307.4,09:30,09:45,15,profit_target,0.5198722375291915,22.51000000000022,-1,2022-01-25,32.29
4226.4,4202.99,09:30,09:59,29,profit_target,0.5538992996403524,23.409999999999854,-1,2022-04-25,30.04
4108.4,4085.5,09:30,09:36,6,profit_target,0.5573946061727105,22.899999999999636,-1,2022-05-06,32.23
3980.6,3993.1,09:30,09:31,1,stop_loss,-0.31402301160629054,-12.5,-1,2022-05-11,32.87
3704.9,3685.3,09:30,09:38,8,profit_target,0.529029123593077,19.59999999999991,-1,2022-06-16,30.35
3688.3,3669.0,09:30,09:44,14,profit_target,0.5232763061573131,19.300000000000182,-1,2022-10-07,30.37
3492.0,3501.1,09:30,09:42,12,stop_loss,-0.26059564719358275,-9.099999999999909,-1,2022-10-13,33.6
5121.08,5139.56,09:30,09:33,3,stop_loss,-0.3608613808024962,-18.480000000000473,-1,2024-08-05,38.4
5268.05,5240.86,09:30,09:35,5,profit_target,0.5161302569261967,27.19000000000051,-1,2025-04-04,30.12
4899.71,4870.9800000000005,09:30,09:36,6,profit_target,0.5863612336240218,28.729999999999563,-1,2025-04-07,60.13
4960.57,4972.9800000000005,09:30,09:31,1,stop_loss,-0.2501728631992042,-12.410000000000764,-1,2025-04-09,50.980000000000004
5343.87,5315.11,09:30,09:41,11,profit_target,0.5381867448122843,28.76000000000022,-1,2025-04-10,34.44
5230.41,5203.38,09:30,09:53,23,profit_target,0.5167854910035685,27.029999999999745,-1,2025-04-21,32.75
