date,entry_time,exit_time,entry_price,exit_price,direction,hold_mins,exit_reason,vix_open,fb_ret,opt_entry,opt_exit,opt_contracts,pnl,risk,strike
2018-01-03,09:30,10:00,2690.22,2696.4,1,30,time_stop,9.6,0.023,9.64,14.07,77,34111,75000,2690
2018-01-05,09:30,09:38,2725.4,2720.3,1,8,stop_loss,9.1,0.011,8.8,5.1,85,-31450,75000,2725
2018-01-08,09:30,10:00,2734.3,2733.5,1,30,time_stop,9.6,0.044,7.4,7.2,101,-2020,75000,2735
2018-01-22,09:30,10:00,2801.9,2807.19,1,30,time_stop,11.6,0.007,10.5,14,71,24850,75000,2800
2018-01-29,09:30,10:00,2860.0,2861.1,1,30,time_stop,11.7,0.024,8.3,8.6,90,2700,75000,2860
2018-01-31,09:30,10:00,2828.12,2826.94,1,30,time_stop,14.2,0.029,9.5,6.5,78,-23400,75000,2830
2018-04-30,09:30,10:00,2673.9,2675.4,1,30,time_stop,15.4,0.049,7.12,7.9,105,8190,75000,2675
2018-05-11,09:30,10:00,2722.21,2727.7,1,30,time_stop,13.2,0.022,7.8,11.5,96,35520,75000,2720
2018-05-14,09:30,10:00,2733.9,2737.5,1,30,time_stop,12.9,0.018,4.75,7.27,157,39564,75000,2735
2018-05-16,09:30,10:00,2712.7,2718.4,1,30,time_stop,14.4,0.048,5.2,7.9,144,38880,75000,2715
2018-05-18,09:30,10:00,2716.4,2714.2,1,30,time_stop,13.2,0.007,6.4,4.9,117,-17550,75000,2715
2018-05-21,09:30,10:00,2731.5,2733.59,1,30,time_stop,13.4,0.051,5,6.4,150,21000,75000,2730
2018-05-23,09:30,10:00,2711.8,2716.2,1,30,time_stop,13.5,0.004,6.8,8.6,110,19800,75000,2710
2018-05-25,09:30,09:44,2724.2,2718.66,1,14,stop_loss,12.4,0.099,4.18,2.55,179,-29177,75000,2725
2018-06-01,09:30,10:00,2724.4,2730.4,1,30,time_stop,14.9,0.011,4,6.4,187,44880,75000,2725
2018-06-08,09:30,10:00,2770.1,2771.2,1,30,time_stop,12.5,0.058,3.8,3.9,197,1970,75000,2770
2018-06-29,09:30,10:00,2723.8,2727.9,1,30,time_stop,15.7,0.096,10,13,75,22500,75000,2725
2018-07-09,09:30,10:00,2766.1,2768.84,1,30,time_stop,13.4,0.022,9.26,11,80,13920,75000,2765
2018-07-20,09:30,10:00,2798.4,2800.67,1,30,time_stop,13.0,0.025,5.6,7.4,133,23940,75000,2800
2018-07-25,09:30,10:00,2814.3,2819.05,1,30,time_stop,12.4,0.036,6.35,9.84,118,41182,75000,2815
2018-07-31,09:30,09:51,2810.5,2806.8,1,21,trailing_stop,14.0,0.085,6.8,5.3,110,-16500,75000,2810
2018-08-13,09:30,10:00,2834.95,2838.7,1,30,time_stop,14.5,0.009,6.96,8.1,107,12198,75000,2835
