date,entry_time,exit_time,entry_price,exit_price,direction,hold_mins,exit_reason,vix_open,fb_ret,opt_entry,opt_exit,opt_contracts,pnl,risk,strike
2018-02-12,09:30,09:36,2643.05,2644.0,1,6,trailing_stop,27.2,0.18,13.72,14.2,71,3408,98000,2645
2018-02-14,09:30,09:34,2647.3,2650.8,1,4,trailing_stop,23.5,0.159,16.5,18,45,6750,75000,2645
2018-02-16,09:30,09:33,2727.3,2726.4,1,3,trailing_stop,18.7,0.151,10.1,10.7,74,4440,75000,2725
2018-02-20,09:30,09:40,2721.7,2725.2,1,10,trailing_stop,20.5,0.051,9.2,12.75,81,28755,75000,2720
2018-02-23,09:30,09:35,2719.1,2720.2,1,5,trailing_stop,18.0,0.044,6.5,8.4,115,21850,75000,2720
2018-02-28,09:30,10:00,2757.38,2760.5,1,30,time_stop,18.1,0.021,8.6,11,87,20880,75000,2755
2018-03-02,09:30,09:32,2659.7,2661.1,1,2,trailing_stop,22.5,0.064,12.53,14.3,59,10443,75000,2660
2018-03-05,09:30,09:42,2680.1,2682.44,1,12,trailing_stop,21.6,0.105,8.3,9.9,90,14400,75000,2680
2018-03-07,09:30,09:36,2706.2,2714.2,1,6,trailing_stop,20.1,0.074,9.4,13.9,79,35550,75000,2705
2018-03-09,09:30,09:57,2759.0,2758.1,1,27,trailing_stop,16.4,0.073,5,5,150,0,75000,2760
2018-03-14,09:30,10:00,2779.8,2774.7,1,30,time_stop,16.6,0.061,4.7,2.2,159,-39750,75000,2780
2018-03-16,09:30,09:32,2747.95,2746.75,1,2,trailing_stop,16.6,0.107,8.5,9.15,88,5720,75000,2750
2018-03-23,09:30,09:34,2644.1,2646.8,1,4,trailing_stop,24.0,0.091,15.8,17.5,47,7990,75000,2645
2018-03-26,09:30,09:33,2622.8,2622.7,1,3,trailing_stop,23.4,0.057,14,14.05,53,265,75000,2625
2018-03-28,09:30,09:34,2609.0,2611.0,1,4,trailing_stop,22.5,0.058,16.13,16.6,46,2162,75000,2610
2018-03-29,09:30,09:32,2613.8,2614.31,1,2,trailing_stop,22.9,0.1,13.65,14.25,54,3240,75000,2615
2018-04-04,09:30,09:33,2569.0,2570.05,1,3,trailing_stop,21.7,0.058,17.75,19.34,42,6678,75000,2570
2018-04-06,09:30,09:40,2634.38,2643.0,1,10,trailing_stop,20.3,0.007,15.95,23.15,47,33840,75000,2635
2018-04-09,09:30,09:35,2615.3,2615.2,1,5,trailing_stop,21.3,0.061,15.23,15.23,49,0,75000,2615
2018-04-27,09:30,09:32,2672.3,2671.0,1,2,trailing_stop,16.2,0.086,10.7,10.5,70,-1400,75000,2670
2018-05-30,09:30,09:41,2707.3,2706.5,1,11,trailing_stop,16.6,0.085,6.5,6.7,115,2300,75000,2705
2018-06-27,09:30,09:33,2723.0,2723.0,1,3,trailing_stop,16.5,0.015,9.55,10.8,78,9750,75000,2725
2018-10-08,09:30,09:37,2870.6,2869.7,1,7,trailing_stop,16.1,0.003,13.03,11.95,57,-6156,75000,2870
2018-10-15,09:30,09:32,2755.9,2756.2,1,2,trailing_stop,22.0,0.015,16.1,16.1,46,0,75000,2755
2018-10-19,09:30,09:34,2772.6,2771.6,1,4,trailing_stop,19.2,0.047,11.8,12.6,63,5040,75000,2775
2018-10-22,09:30,09:35,2772.0,2767.0,1,5,trailing_stop,19.4,0.072,13,11.9,57,-6270,75000,2770
2018-10-26,09:30,09:38,2660.4,2659.0,1,8,trailing_stop,24.5,0.045,16.6,20,45,15300,75000,2660
2018-10-29,09:30,09:34,2690.0,2687.8,1,4,trailing_stop,24.5,0.074,15.8,13.9,47,-8930,75000,2690
2018-11-05,09:30,09:37,2725.2,2727.2,1,7,trailing_stop,20.6,0.029,11,13.6,68,17680,75000,2725
2018-11-14,09:30,09:46,2742.5,2741.6,1,16,trailing_stop,20.5,0.033,11.6,13,64,8960,75000,2740
2018-11-19,09:30,09:40,2730.66,2729.5,1,10,trailing_stop,18.8,0.006,9.6,8.75,78,-6630,75000,2730
2018-11-26,09:30,09:35,2659.2,2659.95,1,5,trailing_stop,20.8,0.053,7.2,7.9,104,7280,75000,2660
2018-11-28,09:30,09:41,2696.2,2695.4,1,11,trailing_stop,18.9,0.007,7.5,7.3,100,-2000,75000,2695
2018-11-30,09:30,09:50,2739.1,2738.7,1,20,trailing_stop,19.2,0.037,6.7,6.59,111,-1221,75000,2740
2018-12-07,09:30,09:33,2695.1,2695.25,1,3,trailing_stop,22.4,0.019,10.3,10,72,-2160,75000,2695
2018-12-12,09:30,09:34,2675.2,2671.7,1,4,trailing_stop,21.9,0.019,10.3,9.63,72,-4824,75000,2675
2018-12-19,09:30,09:35,2552.0,2556.4,1,5,trailing_stop,25.1,0.012,17.7,21,55,18150,98000,2550
2018-12-24,09:30,09:33,2396.1,2395.0,1,3,trailing_stop,29.3,0.238,19.6,22.3,59,15930,117000,2395
2018-12-26,09:30,09:34,2365.45,2370.7,1,4,trailing_stop,35.5,0.244,18.7,23.4,62,29140,117000,2365
2018-12-28,09:30,09:48,2497.0,2497.5,1,18,trailing_stop,30.0,0.048,19.7,22.35,49,12985,98000,2495
2019-01-02,09:30,09:32,2461.2,2463.4,1,2,trailing_stop,27.5,0.057,20.3,20.3,48,0,98000,2460
2019-01-04,09:30,09:38,2476.8,2478.9,1,8,trailing_stop,24.4,0.036,18.2,21.1,41,11890,75000,2475
2019-01-09,09:30,09:37,2576.1,2576.7,1,7,trailing_stop,20.4,0.019,13.62,15.88,55,12430,75000,2575
2019-01-22,09:30,09:33,2648.4,2646.3,1,3,trailing_stop,18.5,0.008,9.6,8,78,-12480,75000,2650
2019-01-23,09:30,09:37,2640.4,2642.3,1,7,trailing_stop,20.9,0.011,11.8,12.8,63,6300,75000,2640
2019-01-31,09:30,09:32,2676.3,2675.1,1,2,trailing_stop,17.4,0.045,12.2,11.5,61,-4270,75000,2675
2019-02-08,09:30,09:43,2689.24,2692.0,1,13,trailing_stop,16.8,0.065,8.47,10.5,88,17864,75000,2690
2019-02-11,09:30,09:39,2713.2,2712.0,1,9,trailing_stop,16.2,0.044,7.4,6.7,101,-7070,75000,2715
2019-02-15,09:30,09:44,2764.4,2766.15,1,14,trailing_stop,16.8,0.029,7.1,8.2,105,11550,75000,2765
2019-03-11,09:30,09:37,2752.9,2756.7,1,7,trailing_stop,16.3,0.011,3.9,5.45,192,29760,75000,2755
2019-05-08,09:30,09:42,2877.7,2875.7,1,12,trailing_stop,18.9,0.083,12.9,10.6,58,-13340,75000,2880
2019-05-10,09:30,09:43,2859.8,2859.8,1,13,trailing_stop,18.8,0.126,13.2,14,56,4480,75000,2860
2019-05-13,09:30,09:32,2829.15,2827.15,1,2,trailing_stop,18.6,0.175,13.7,14,54,1620,75000,2830
2019-05-28,09:30,09:50,2832.0,2839.7,1,20,trailing_stop,16.6,0.039,7.97,11.95,94,37412,75000,2830
2019-05-31,09:30,10:00,2763.5,2759.3,1,30,time_stop,19.1,0.054,8.05,5.83,93,-20646,75000,2765
2019-06-03,09:30,09:39,2753.6,2759.6,1,9,trailing_stop,19.4,0.018,7.4,11,101,36360,75000,2755
2019-06-12,09:30,09:44,2889.6,2889.7,1,14,trailing_stop,16.3,0.111,5.04,4.5,148,-7992,75000,2890
2019-08-07,09:30,09:40,2844.8,2839.8,1,10,trailing_stop,20.7,0.028,13.6,14.6,55,5500,75000,2845
2019-08-09,09:30,09:38,2925.85,2930.8,1,8,trailing_stop,18.1,0.002,11.1,13.68,67,17286,75000,2925
2019-08-12,09:30,10:00,2900.8,2895.1,1,30,time_stop,17.9,0.041,12,8.1,62,-24180,75000,2900
2019-08-14,09:30,09:33,2881.1,2880.0,1,3,trailing_stop,17.8,0.014,13.8,13.4,54,-2160,75000,2880
2019-08-16,09:30,09:39,2868.7,2871.85,1,9,trailing_stop,20.5,0.136,9.31,11.07,80,14080,75000,2870
2019-08-21,09:30,09:48,2926.2,2926.1,1,18,trailing_stop,17.0,0.048,7.6,7.8,98,1960,75000,2925
2019-08-23,09:30,09:35,2909.47,2907.8,1,5,trailing_stop,16.1,0.009,11.9,11.02,63,-5544,75000,2910
2019-08-28,09:30,09:45,2862.1,2861.0,1,15,trailing_stop,20.6,0.024,11.9,10.42,63,-9324,75000,2860
2019-09-03,09:30,09:37,2905.75,2906.6,1,7,trailing_stop,21.0,0.002,10,10,75,0,75000,2905
2019-09-30,09:30,09:35,2960.7,2960.2,1,5,trailing_stop,17.2,0.034,12.7,13,59,1770,75000,2960
