date,entry_time,exit_time,entry_price,exit_price,direction,hold_mins,exit_reason,vix_open,drop_pct,velocity,opt_entry,opt_exit,opt_contracts,pnl,risk,strike
2018-02-09,09:35,09:40,2605.8,,1,5,time_stop,32.2,0.329,0.1645,20.2,14.4,24,-13920,50000,2605
2018-02-23,09:37,09:42,2714.5,,1,5,time_stop,18.0,0.301,0.1506,8.55,10.65,58,12180,50000,2715
2018-03-02,09:37,09:42,2654.75,,1,5,time_stop,22.5,0.418,0.1394,14.1,14.4,35,1050,50000,2655
2018-03-19,09:53,09:58,2727.75,,1,5,time_stop,16.6,0.591,0.5908,9.6,9,52,-3120,50000,2730
2018-03-21,14:02,14:06,2720.7,,1,5,time_stop,17.8,0.439,0.2196,15.3,15.1,32,-640,50000,2720
2018-10-26,09:35,09:39,2659.2,,1,4,trailing_stop,24.5,1.875,0.3749,15.32,18,32,8576,50000,2660
2018-12-10,14:56,14:57,2635.3,,1,1,stop_loss,23.9,0.329,0.329,7,3.76,71,-23004,50000,2635
2018-12-19,14:02,14:04,2559.1,,1,2,stop_loss,25.1,1.345,0.6727,12.85,8.5,38,-16530,50000,2560
2018-12-24,09:35,09:40,2389.0,,1,5,time_stop,29.3,0.458,0.1528,18.83,20,26,3042,50000,2390
2018-12-26,09:42,09:46,2370.6,,1,5,time_stop,35.5,0.332,0.1107,22.2,18.5,22,-8140,50000,2370
2018-12-28,09:35,09:40,2486.8,,1,5,time_stop,30.0,0.456,0.1141,22.22,22.08,22,-308,50000,2485
2019-01-04,10:34,10:39,2504.7,,1,5,time_stop,24.4,0.35,0.1167,15.75,15.3,31,-1395,50000,2505
2019-01-07,09:35,09:36,2520.65,,1,5,time_stop,22.1,0.33,0.3302,16,16.05,31,155,50000,2520
2019-08-07,10:20,10:23,2844.9,,1,5,time_stop,20.7,0.312,0.104,16,16.55,31,1705,50000,2845
2019-09-16,13:38,13:42,3000.1,,1,5,time_stop,14.9,0.375,0.3746,0.9,1.3,555,22200,50000,3000
