date,entry_open,entry_1min,eod_pnl_open,eod_pnl_1min,eod_pct_open,eod_pct_1min,mfe_open,mae_open,mfe_1min,mae_1min,pnl_open_1m,pnl_1min_1m,pct_open_1m,pct_1min_1m,pnl_open_2m,pnl_1min_2m,pct_open_2m,pct_1min_2m,pnl_open_3m,pnl_1min_3m,pct_open_3m,pct_1min_3m,pnl_open_5m,pnl_1min_5m,pct_open_5m,pct_1min_5m,pnl_open_10m,pnl_1min_10m,pct_open_10m,pct_1min_10m,pnl_open_15m,pnl_1min_15m,pct_open_15m,pct_1min_15m,pnl_open_20m,pnl_1min_20m,pct_open_20m,pct_1min_20m,pnl_open_30m,pnl_1min_30m,pct_open_30m,pct_1min_30m,pnl_open_45m,pnl_1min_45m,pct_open_45m,pct_1min_45m,pnl_open_60m,pnl_1min_60m,pct_open_60m,pct_1min_60m,pnl_open_90m,pnl_1min_90m,pct_open_90m,pct_1min_90m,pnl_open_120m,pnl_1min_120m,pct_open_120m,pct_1min_120m,pnl_open_180m,pnl_1min_180m,pct_open_180m,pct_1min_180m,pnl_open_240m,pnl_1min_240m,pct_open_240m,pct_1min_240m,pnl_open_300m,pnl_1min_300m,pct_open_300m,pct_1min_300m,pnl_open_390m,pnl_1min_390m,pct_open_390m,pct_1min_390m
2023-02-14,4138.09,4138.4,-2.06,-2.37,-0.0498,-0.0573,7.87,-15.62,7.56,-15.93,-1.75,-2.06,-0.0423,-0.0498,-3.04,-3.35,-0.0735,-0.0809,-3.56,-3.87,-0.086,-0.0935,-5.69,-6.0,-0.1375,-0.145,-2.33,-2.64,-0.0563,-0.0638,-4.35,-4.66,-0.1051,-0.1126,-4.54,-4.85,-0.1097,-0.1172,-3.65,-3.96,-0.0882,-0.0957,-15.28,-15.59,-0.3693,-0.3767,-4.27,-4.58,-0.1032,-0.1107,3.25,2.94,0.0785,0.071,3.52,3.21,0.0851,0.0776,,,,,,,,,,,,,,,,
2023-02-15,4119.5,4112.3,27.98,35.18,0.6792,0.8555,28.22,-15.52,35.42,-8.32,-3.94,3.26,-0.0956,0.0793,-2.93,4.27,-0.0711,0.1038,-1.9,5.3,-0.0461,0.1289,-3.26,3.94,-0.0791,0.0958,-6.66,0.54,-0.1617,0.0131,-1.07,6.13,-0.026,0.1491,3.49,10.69,0.0847,0.26,-3.39,3.81,-0.0823,0.0926,-6.99,0.21,-0.1697,0.0051,-1.34,5.86,-0.0325,0.1425,-3.46,3.74,-0.084,0.0909,7.62,14.82,0.185,0.3604,-0.65,6.55,-0.0158,0.1593,13.08,20.28,0.3175,0.4932,21.62,28.82,0.5248,0.7008,,,,
2023-02-16,4114.75,4100.57,-24.48,-10.3,-0.5949,-0.2512,21.79,-25.26,35.97,-11.08,-13.73,0.45,-0.3337,0.011,-12.53,1.65,-0.3045,0.0402,-14.07,0.11,-0.3419,0.0027,-17.83,-3.65,-0.4333,-0.089,-12.39,1.79,-0.3011,0.0437,-14.61,-0.43,-0.3551,-0.0105,-13.98,0.2,-0.3398,0.0049,-18.81,-4.63,-0.4571,-0.1129,-12.17,2.01,-0.2958,0.049,-1.72,12.46,-0.0418,0.3039,8.29,22.47,0.2015,0.548,7.72,21.9,0.1876,0.5341,13.31,27.49,0.3235,0.6704,6.66,20.84,0.1619,0.5082,19.4,33.58,0.4715,0.8189,,,,
2023-02-17,4077.39,4068.35,1.59,10.63,0.039,0.2613,4.12,-29.44,13.16,-20.4,-11.1,-2.06,-0.2722,-0.0506,-10.47,-1.43,-0.2568,-0.0351,-8.75,0.29,-0.2146,0.0071,-5.78,3.26,-0.1418,0.0801,-15.08,-6.04,-0.3698,-0.1485,-19.79,-10.75,-0.4854,-0.2642,-22.38,-13.34,-0.5489,-0.3279,-20.35,-11.31,-0.4991,-0.278,-14.59,-5.55,-0.3578,-0.1364,-9.74,-0.7,-0.2389,-0.0172,-22.22,-13.18,-0.545,-0.324,-26.49,-17.45,-0.6497,-0.4289,-17.99,-8.95,-0.4412,-0.22,-24.12,-15.08,-0.5916,-0.3707,-7.64,1.4,-0.1874,0.0344,,,,
2023-02-21,4052.35,4042.64,-55.11,-45.4,-1.36,-1.123,0,-57.16,9.71,-47.45,-12.56,-2.85,-0.3099,-0.0705,-9.3,0.41,-0.2295,0.0101,-7.2,2.51,-0.1777,0.0621,-7.77,1.94,-0.1917,0.048,-8.52,1.19,-0.2102,0.0294,-5.25,4.46,-0.1296,0.1103,-17.15,-7.44,-0.4232,-0.184,-21.22,-11.51,-0.5236,-0.2847,-27.91,-18.2,-0.6887,-0.4502,-27.59,-17.88,-0.6808,-0.4423,-30.12,-20.41,-0.7433,-0.5049,-37.09,-27.38,-0.9153,-0.6773,-43.39,-33.68,-1.0707,-0.8331,-46.09,-36.38,-1.1374,-0.8999,-53.44,-43.73,-1.3187,-1.0817,,,,
2023-02-22,4001.83,4002.26,-10.31,-10.74,-0.2576,-0.2683,15.54,-24.93,15.11,-25.36,2.41,1.98,0.0602,0.0495,2.68,2.25,0.067,0.0562,3.14,2.71,0.0785,0.0677,-0.35,-0.78,-0.0087,-0.0195,3.85,3.42,0.0962,0.0855,8.14,7.71,0.2034,0.1926,3.77,3.34,0.0942,0.0835,1.42,0.99,0.0355,0.0247,-12.47,-12.9,-0.3116,-0.3223,-12.53,-12.96,-0.3131,-0.3238,-3.01,-3.44,-0.0752,-0.086,-4.94,-5.37,-0.1234,-0.1342,5.54,5.11,0.1384,0.1277,12.6,12.17,0.3149,0.3041,-3.44,-3.87,-0.086,-0.0967,,,,
2023-02-23,4018.6,4021.28,-6.46,-9.14,-0.1608,-0.2273,9.7,-49.41,7.02,-52.09,2.19,-0.49,0.0545,-0.0122,1.67,-1.01,0.0416,-0.0251,3.57,0.89,0.0888,0.0221,0.43,-2.25,0.0107,-0.056,0.77,-1.91,0.0192,-0.0475,0.4,-2.28,0.01,-0.0567,6.22,3.54,0.1548,0.088,8.05,5.37,0.2003,0.1335,-1.29,-3.97,-0.0321,-0.0987,-4.24,-6.92,-0.1055,-0.1721,-18.41,-21.09,-0.4581,-0.5245,-32.34,-35.02,-0.8048,-0.8709,-45.37,-48.05,-1.129,-1.1949,-37.76,-40.44,-0.9396,-1.0056,-12.25,-14.93,-0.3048,-0.3713,,,,
2023-02-24,3973.2400000000002,3961.92,-2.82,8.5,-0.071,0.2145,5.01,-30.16,16.33,-18.84,-13.93,-2.61,-0.3506,-0.0659,-11.33,-0.01,-0.2852,-0.0003,-9.6,1.72,-0.2416,0.0434,-9.67,1.65,-0.2434,0.0416,-9.41,1.91,-0.2368,0.0482,-20.47,-9.15,-0.5152,-0.2309,-22.95,-11.63,-0.5776,-0.2935,-21.17,-9.85,-0.5328,-0.2486,-26.46,-15.14,-0.666,-0.3821,-26.99,-15.67,-0.6793,-0.3955,-24.84,-13.52,-0.6252,-0.3412,-13.92,-2.6,-0.3503,-0.0656,-10.9,0.42,-0.2743,0.0106,-18.4,-7.08,-0.4631,-0.1787,-12.59,-1.27,-0.3169,-0.0321,,,,
2023-02-27,3992.36,4002.71,-10.13,-20.48,-0.2537,-0.5117,25.69,-18.81,15.34,-29.16,8.98,-1.37,0.2249,-0.0342,9.41,-0.94,0.2357,-0.0235,10.09,-0.26,0.2527,-0.0065,7.07,-3.28,0.1771,-0.0819,9.04,-1.31,0.2264,-0.0327,5.77,-4.58,0.1445,-0.1144,8.51,-1.84,0.2132,-0.046,15.0,4.65,0.3757,0.1162,23.06,12.71,0.5776,0.3175,18.99,8.64,0.4757,0.2159,6.98,-3.37,0.1748,-0.0842,-3.17,-13.52,-0.0794,-0.3378,-3.34,-13.69,-0.0837,-0.342,2.13,-8.22,0.0534,-0.2054,0.04,-10.31,0.001,-0.2576,,,,
2023-02-28,3977.19,3976.88,-7.91,-7.6,-0.1989,-0.1911,20.31,-7.91,20.62,-7.6,-1.83,-1.52,-0.046,-0.0382,-2.5,-2.19,-0.0629,-0.0551,-4.42,-4.11,-0.1111,-0.1033,-3.56,-3.25,-0.0895,-0.0817,2.12,2.43,0.0533,0.0611,5.04,5.35,0.1267,0.1345,1.87,2.18,0.047,0.0548,5.8,6.11,0.1458,0.1536,-0.83,-0.52,-0.0209,-0.0131,-0.77,-0.46,-0.0194,-0.0116,3.67,3.98,0.0923,0.1001,7.41,7.72,0.1863,0.1941,11.25,11.56,0.2829,0.2907,19.44,19.75,0.4888,0.4966,11.34,11.65,0.2851,0.2929,,,,
2023-03-01,3963.34,3959.3,-11.71,-7.67,-0.2955,-0.1937,8.39,-24.29,12.43,-20.25,-0.65,3.39,-0.0164,0.0856,-0.96,3.08,-0.0242,0.0778,-2.84,1.2,-0.0717,0.0303,-3.26,0.78,-0.0823,0.0197,-1.2,2.84,-0.0303,0.0717,0.14,4.18,0.0035,0.1056,6.48,10.52,0.1635,0.2657,0.32,4.36,0.0081,0.1101,-17.04,-13.0,-0.4299,-0.3283,-13.53,-9.49,-0.3414,-0.2397,-2.84,1.2,-0.0717,0.0303,-13.88,-9.84,-0.3502,-0.2485,0.49,4.53,0.0124,0.1144,-10.47,-6.43,-0.2642,-0.1624,-18.5,-14.46,-0.4668,-0.3652,,,,
2023-03-02,3938.6800000000003,3934.05,42.61,47.24,1.0818,1.2008,52.16,-10.52,56.79,-5.89,-6.8,-2.17,-0.1726,-0.0552,-6.22,-1.59,-0.1579,-0.0404,-6.19,-1.56,-0.1572,-0.0397,-7.92,-3.29,-0.2011,-0.0836,-8.51,-3.88,-0.2161,-0.0986,-7.17,-2.54,-0.182,-0.0646,-2.84,1.79,-0.0721,0.0455,0.63,5.26,0.016,0.1337,4.96,9.59,0.1259,0.2438,5.08,9.71,0.129,0.2468,9.51,14.14,0.2415,0.3594,3.69,8.32,0.0937,0.2115,6.24,10.87,0.1584,0.2763,6.52,11.15,0.1655,0.2834,36.78,41.41,0.9338,1.0526,,,,
2023-03-03,3998.02,3996.92,47.3,48.4,1.1831,1.2109,50.27,-2.85,51.37,-1.75,-0.8,0.3,-0.02,0.0075,-0.73,0.37,-0.0183,0.0093,-1.22,-0.12,-0.0305,-0.003,-0.02,1.08,-0.0005,0.027,-0.39,0.71,-0.0098,0.0178,4.0,5.1,0.1,0.1276,6.3,7.4,0.1576,0.1851,8.52,9.62,0.2131,0.2407,13.02,14.12,0.3257,0.3533,17.9,19.0,0.4477,0.4754,14.82,15.92,0.3707,0.3983,18.99,20.09,0.475,0.5026,27.44,28.54,0.6863,0.714,36.32,37.42,0.9084,0.9362,43.03,44.13,1.0763,1.1041,,,,
2023-03-06,4055.15,4053.77,-6.69,-5.31,-0.165,-0.131,23.34,-10.54,24.72,-9.16,-2.07,-0.69,-0.051,-0.017,0.55,1.93,0.0136,0.0476,3.9,5.28,0.0962,0.1302,4.0,5.38,0.0986,0.1327,4.33,5.71,0.1068,0.1409,4.32,5.7,0.1065,0.1406,1.88,3.26,0.0464,0.0804,4.0,5.38,0.0986,0.1327,14.44,15.82,0.3561,0.3903,16.67,18.05,0.4111,0.4453,15.44,16.82,0.3808,0.4149,14.19,15.57,0.3499,0.3841,15.75,17.13,0.3884,0.4226,4.29,5.67,0.1058,0.1399,-0.15,1.23,-0.0037,0.0303,,,,
2023-03-07,4048.26,4045.88,-61.55,-59.17,-1.5204,-1.4625,1.74,-67.95,4.12,-65.57,-2.94,-0.56,-0.0726,-0.0138,-2.3,0.08,-0.0568,0.002,-1.64,0.74,-0.0405,0.0183,-0.21,2.17,-0.0052,0.0536,-0.86,1.52,-0.0212,0.0376,-1.61,0.77,-0.0398,0.019,0.59,2.97,0.0146,0.0734,-14.5,-12.12,-0.3582,-0.2996,-36.17,-33.79,-0.8935,-0.8352,-26.92,-24.54,-0.665,-0.6065,-41.47,-39.09,-1.0244,-0.9662,-42.17,-39.79,-1.0417,-0.9835,-34.11,-31.73,-0.8426,-0.7843,-48.39,-46.01,-1.1953,-1.1372,-60.12,-57.74,-1.4851,-1.4271,,,,
2023-03-08,3987.55,3991.39,4.36,0.52,0.1093,0.013,12.86,-17.79,9.02,-21.63,3.83,-0.01,0.096,-0.0003,4.13,0.29,0.1036,0.0073,1.05,-2.79,0.0263,-0.0699,-0.35,-4.19,-0.0088,-0.105,-1.82,-5.66,-0.0456,-0.1418,-0.97,-4.81,-0.0243,-0.1205,0.81,-3.03,0.0203,-0.0759,-6.74,-10.58,-0.169,-0.2651,-1.61,-5.45,-0.0404,-0.1365,2.77,-1.07,0.0695,-0.0268,1.5,-2.34,0.0376,-0.0586,0.24,-3.6,0.006,-0.0902,-4.74,-8.58,-0.1189,-0.215,-16.97,-20.81,-0.4256,-0.5214,-6.46,-10.3,-0.162,-0.2581,,,,
2023-03-09,3998.6600000000003,4000.12,-79.28,-80.74,-1.9827,-2.0184,19.15,-89.96,17.69,-91.42,0.48,-0.98,0.012,-0.0245,0.95,-0.51,0.0238,-0.0127,4.26,2.8,0.1065,0.07,7.91,6.45,0.1978,0.1612,7.43,5.97,0.1858,0.1492,9.63,8.17,0.2408,0.2042,17.58,16.12,0.4396,0.403,11.46,10.0,0.2866,0.25,6.78,5.32,0.1696,0.133,6.34,4.88,0.1586,0.122,4.05,2.59,0.1013,0.0647,-1.65,-3.11,-0.0413,-0.0777,-4.08,-5.54,-0.102,-0.1385,-31.84,-33.3,-0.7963,-0.8325,-52.3,-53.76,-1.3079,-1.344,,,,
2023-03-10,3912.77,3908.54,-51.09,-46.86,-1.3057,-1.1989,21.28,-66.45,25.51,-62.22,-5.49,-1.26,-0.1403,-0.0322,-0.06,4.17,-0.0015,0.1067,-5.47,-1.24,-0.1398,-0.0317,-13.66,-9.43,-0.3491,-0.2413,-18.72,-14.49,-0.4784,-0.3707,-27.9,-23.67,-0.713,-0.6056,-29.17,-24.94,-0.7455,-0.6381,-8.42,-4.19,-0.2152,-0.1072,-13.8,-9.57,-0.3527,-0.2448,-21.11,-16.88,-0.5395,-0.4319,-1.08,3.15,-0.0276,0.0806,15.59,19.82,0.3984,0.5071,-20.69,-16.46,-0.5288,-0.4211,-51.6,-47.37,-1.3188,-1.212,-51.4,-47.17,-1.3136,-1.2068,,,,
