label,n,wr_eod,avg_eod,median_eod,best_avg_pnl,best_pf,best_pt,best_sl,best_ts,best_wr,total_pnl,avg_hold
bullish_1st_bar,410,59.5,3.71,6.69,5.81,6.61,50,2,30,47.8,2383.4,18.9
monday,143,65.0,8.94,6.5,5.37,1.72,50,20,390,54.5,767.7,277.6
gap_up,445,54.6,1.43,3.66,4.04,4.15,50,2,30,35.5,1796.9,14.5
3+_down_streak,71,54.9,8.04,9.86,7.31,2.47,50,8,240,38.0,519.2,85.7
lower_20d_range,68,61.8,17.24,16.71,7.89,1.71,50,20,390,44.1,536.3,131.2
prev_big_down,55,54.5,13.72,5.21,4.5,3.75,50,2,120,18.2,247.3,27.9
prev_close_near_low,170,56.5,5.21,4.99,2.63,1.39,50,10,390,31.8,446.5,143.9
wide_prev_range,98,59.2,8.69,15.25,3.44,3.55,15,2,60,32.7,337.0,6.2
2nd_week,180,57.2,5.7,4.84,3.54,1.43,50,15,390,40.6,637.5,210.0
bullish_1st_bar + 3+_down_streak,37,64.9,19.61,24.15,16.53,4.3,50,20,240,70.3,611.4,164
gap_up + lower_20d_range,33,66.7,14.18,19.85,14.75,2.74,50,20,390,57.6,486.7,181.5
prev_close_near_low + 2nd_week,33,78.8,32.88,20.42,13.89,2.91,50,20,390,63.6,458.3,238.7
bullish_1st_bar + lower_20d_range,35,62.9,12.05,19.85,13.56,2.48,50,20,390,54.3,474.7,172.9
lower_20d_range + wide_prev_range,23,78.3,39.7,25.84,11.82,2.13,50,20,390,47.8,271.8,106.5
prev_big_down + 2nd_week,15,86.7,60.58,31.38,11.65,2.25,50,20,390,53.3,174.7,150.5
monday + 2nd_week,36,63.9,11.14,14.32,10.07,2.86,50,15,390,52.8,362.5,269.9
gap_up + 3+_down_streak,42,57.1,9.1,10.2,9.86,3.96,50,5,240,33.3,414.0,77.1
bullish_1st_bar + prev_big_down,32,62.5,13.05,10.43,9.51,2.9,20,20,390,75.0,304.4,91.9
gap_up + prev_big_down,30,60.0,9.61,5.55,9.26,7.61,50,2,120,30.0,277.8,45.8
bullish_1st_bar + wide_prev_range,53,64.2,7.51,15.98,9.25,4.06,15,20,390,84.9,490.3,45.0
bullish_1st_bar + monday,89,65.2,8.13,6.5,7.87,3.53,15,20,390,79.8,700.4,127.7
monday + 3+_down_streak,17,70.6,16.77,19.42,7.72,2.61,30,20,240,70.6,131.2,146.6
gap_up + wide_prev_range,57,61.4,4.99,15.36,7.5,2.1,50,15,120,50.9,427.3,71.3
bullish_1st_bar + prev_close_near_low,94,62.8,5.57,7.91,6.81,1.8,50,20,390,55.3,640.5,249.0
bullish_1st_bar + gap_up,310,60.6,3.5,7.19,6.47,7.45,50,2,30,49.4,2004.5,19.7
lower_20d_range + prev_close_near_low,21,57.1,24.44,3.72,6.38,2.03,50,20,30,61.9,134.0,24.3
monday + gap_up,83,61.4,6.99,6.36,6.06,2.47,15,20,390,74.7,502.9,134.1
monday + wide_prev_range,19,63.2,9.7,28.98,6.05,6.75,15,2,390,47.4,115,4
3+_down_streak + prev_close_near_low,34,55.9,11.33,6.65,5.95,1.62,50,20,390,44.1,202.2,222
bullish_1st_bar + 2nd_week,104,57.7,4.12,4.84,5.92,2.0,50,10,390,38.5,616.0,192.6
gap_up + prev_close_near_low,100,63.0,6.42,7.89,5.85,1.68,50,20,390,54.0,585.0,253.3
monday + prev_close_near_low,29,86.2,17.01,15.69,5.34,2.04,15,20,390,72.4,154.8,83
prev_big_down + wide_prev_range,38,57.9,20.57,9.15,5.06,4.2,50,2,120,21.1,192.1,31.3
wide_prev_range + 2nd_week,26,69.2,18.67,17.02,4.95,1.46,50,20,390,46.2,128.6,135.7
gap_up + 2nd_week,117,53.8,2.19,3.36,3.94,1.62,50,10,390,34.2,461.4,171.7
prev_close_near_low + wide_prev_range,38,65.8,22.87,15.96,3.69,3.26,50,2,120,18.4,140.1,28.3
prev_big_down + prev_close_near_low,49,55.1,12.68,5.21,3.4,3.03,50,2,120,16.3,166.4,25.6
bullish_1st_bar + prev_close_near_low + 2nd_week,20,80.0,20.15,22.15,17.05,3.84,50,20,390,70.0,341.0,257.1
gap_up + prev_close_near_low + 2nd_week,22,77.3,19.57,24.51,16.91,3.66,50,20,390,68.2,372.0,268.0
bullish_1st_bar + gap_up + 3+_down_streak,31,64.5,17.54,22.82,16.31,4.06,50,20,240,67.7,505.6,164.9
bullish_1st_bar + gap_up + lower_20d_range,29,69.0,16.41,24.15,15.68,2.89,50,20,390,58.6,454.7,179.9
bullish_1st_bar + gap_up + prev_big_down,24,66.7,13.36,15.96,12.08,10.66,50,2,120,37.5,289.8,57.0
monday + gap_up + prev_close_near_low,16,81.2,8.94,16.43,11.94,3.75,30,20,390,75.0,191.1,234.3
bullish_1st_bar + 3+_down_streak + prev_close_near_low,17,52.9,11.23,0.81,11.07,2.34,50,20,390,47.1,188.1,228.5
bullish_1st_bar + prev_close_near_low + wide_prev_range,22,77.3,17.72,19.64,10.88,2.33,50,20,390,59.1,239.4,215.4
bullish_1st_bar + prev_big_down + wide_prev_range,23,69.6,19.13,15.98,10.62,3.44,20,20,390,78.3,244.4,74.1
gap_up + prev_big_down + wide_prev_range,21,66.7,12.62,15.94,9.84,8.38,50,2,120,33.3,206.7,50.1
